PracticeMotivation,SelfRegulation,Desire
1.69,1.48,24.09
1.74,2.3,14.77
0.75,2.61,-14.15
2.2,3.05,26.38
2.25,3.48,26.26
1.75,2.22,14.86
0.98,2.62,-5.54
2.06,1.97,27.29
1.81,1.78,14.43
2.34,1.57,42.98
0.96,1.67,-9.37
2.42,2.23,35.35
2,2.47,24.32
1.93,2.76,14.41
2.43,5.04,18.47
1.49,3.13,7.46
1.84,2.43,23.62
1.87,2.72,11.82
3.01,3.42,27.75
2.46,3.83,22.45
1.9,2.06,24.66
1.75,3.38,7.22
2.46,3.65,23.79
1.85,2.82,15.46
1.49,3.01,8.54
1.65,2.63,12.06
1.61,2.08,11.77
0.63,2.34,-16.32
2.27,4.38,16.98
1.61,1.65,11.45
1.63,2.46,17.97
2.78,2.83,37.03
2.18,2.25,32.87
2.07,1.61,31.88
0.19,2.94,-22.21
2.36,3.16,24.74
1.92,1.65,24.35
2.9,2.61,46.33
1.26,3.37,-3.29
1.79,2.43,17.36
3.76,2.88,60.85
1.64,3.07,10.7
0.88,2.29,-3.26
1.58,2.8,11.63
1.56,1.85,14.89
1.99,3.54,9.03
2.74,3.24,31.24
2.33,2.89,29.61
2.26,2.01,32.38
1.24,2.84,6.46
1.33,3.16,6.58
2.2,2.96,24.7
1.38,2.44,1.81
2.29,2.11,31.63
2.39,2.11,38.21
2.31,2.45,30.05
1.81,2.91,10.71
1.65,2.54,17.72
1.4,1.74,7.48
0.83,2.95,-9.7
1.1,2.47,-4.11
1.46,2.61,5.25
1.35,2.13,1.06
1.41,2.81,1.96
1.58,2.09,17.13
1.35,2.5,3.21
1.18,3.9,1.22
0.38,3.31,-17.47
2.32,3.53,21.75
1.24,3.05,-0.92
4,4.19,46.68
1.41,3.4,6.44
2.5,3.67,30.44
0.96,2.9,-3.68
1.48,3.34,6.19
2.03,3.58,19.68
1.32,3.85,4.55
0.74,2.17,-12.99
1.71,1.96,9.84
0.29,3.35,-17.27
0.82,1.37,-6.08
1.51,3.61,7.38
1.61,2.88,12.63
0.95,4.55,-2.24
2.37,3.3,27.46
2.83,3.59,27.91
1.19,2.87,-2.29
2.12,3.28,17.28
1.88,3.47,13.63
1.3,3.11,6.81
3.04,3.25,36.43
1.83,1.73,30.69
1.82,2.2,10.57
0.67,4.44,-5.64
2.29,2.55,24.56
0,3.81,-21.28
2.79,3.44,31.69
1.27,1.97,-0.07
2.97,3.25,34.97
1.32,2.05,2.53
1.53,2.88,8.44
1.92,2.44,21.7
3.02,3.23,39.74
1.22,3.51,1.52
1.57,3.21,8.6
2.35,3.11,24.6
2.16,2.01,34.94
3.23,4.06,33.72
1,3.31,-1.49
1.9,2.84,21.55
1.71,2.12,15.88
2.43,3.03,26.84
1.19,2.53,1.2
0.99,2.92,-1.75
1.93,2.28,15.02
1.19,1.3,-7.42
3.52,4.56,33.55
1.86,1.44,24.37
1.21,2.37,1.28
1.71,3.17,7.65
2.48,4.25,15.99
1.49,2.74,11.25
2.3,2.18,30.53
1.83,1.92,27.36
1.51,2.08,5.77
1.62,2.41,12.54
3.02,3.36,37.04
1.8,2.16,24.42
1.63,2.11,14.19
1.02,2.32,-10.9
1.31,2.74,2.14
2.49,2.83,24.13
1.88,2.32,20.62
2.45,3.07,25.5
1.43,1.42,11.06
1.41,1.74,4.91
1.75,1.52,20.43
1.72,3.36,9.99
0.52,2.5,-19.35
2.12,2.54,23.05
0.81,2.34,-12.65
2.46,3.11,27.52
1.2,3.54,4.13
1.29,2.41,2.55
1.17,3.46,-2.1
1.12,2.33,-2.71
2.1,3.43,20.61
1.51,3.39,2.83
2.87,3.8,31.51
2.04,3.19,20.93